"standard_azul_11","exitable_azul_11","exitable_zing_17","standard_zing_17","exitable_temurin_17","standard_temurin_17"
200714687,305324546,165534402,160560071,175300812,179002414
207655037,206358953,163874628,159595996,175970537,187528740
200523075,206590741,270141844,279433491,175376034,291233936
198378350,203170348,165346789,159718726,176073331,290955199
194646186,200279434,164118789,162320786,175863625,190179220
187624723,200048548,164143025,160886879,177292965,173178626
191890806,194804688,164993872,160176243,176875597,173579294
187356335,195425461,165040350,161334426,178483413,173477500
186480990,195451651,165069676,160601257,182688183,179512509
186665660,194034902,164203340,161755052,177387293,176664725
186116921,194792023,165007468,160353557,176798872,173303210
186583113,194860864,165235680,161919975,177770697,173947859
185746281,194815958,164117869,161324516,177116391,174984319
185422740,198009153,164592685,160979143,177720532,174632153
194142262,216281796,164436471,160829989,177410678,179268377
198308839,206930585,166266748,160964544,177675868,174862760
198295734,206907891,164463542,160858193,177133254,174515763
198505300,207107768,165956341,162048287,176932725,179206129
206872688,207241451,165261649,160478143,181892852,174787317
245993270,207429577,164114062,160925739,176266848,174348227
414835165,206896470,165533292,161907829,176371795,174402029
258304262,206755042,164127417,160826190,176144427,174176151
198419217,216825624,165150890,161831604,238913469,174796032
203740537,212880629,165807340,160729677,299090515,178375329
199265517,336688101,165302025,161984304,259282347,172897855
199108901,401026503,165071090,160488149,180426813,174697476
207181691,207476085,165806419,162280884,175406293,179277544
198716841,203341651,166201235,160181277,176879735,173209885
193921695,199570714,168414474,161780547,175917027,253850453
188653125,209346140,165271599,161422659,176557787,289666944
191749709,195192270,166338975,162194671,178278047,242363440
186834327,195486968,169577000,161284226,177926453,172620290
186558076,195214072,171261811,162147531,178097936,173438196
186247087,193969299,171793817,162313965,177830441,172644586
185044954,193687737,171180589,162671804,177594706,178825981
194162300,194188854,172445608,164404015,183593755,174260120
186250614,194053939,171588851,163556689,177827406,174539838
185378926,198481487,172441380,168247466,177534994,175151805
194401582,215891870,254244057,166750248,177646624,175313240
198229248,206425600,233260209,167250236,177056259,174774352
198125342,206649824,167494919,233290506,176767704,174489723
198210232,206893995,165384423,241708353,176671984,174942991
198869047,207226785,167955600,165513596,176440447,174913865
197972833,207298270,165923121,160458719,176485011,174800121
206962026,206610329,165019945,160241377,182047436,179842441
357049598,212470233,164226057,161529958,175683637,174041056
414521240,207108110,165501525,160499536,176190114,174539527
308773508,207785611,164767950,161561438,176665461,173928383
198856413,206718574,165556719,160624232,206797888,173856076
198397406,235965597,164859092,160705306,293051633,173414591
206795120,424194909,165592518,161164735,292013422,174042969
198819393,280098704,164469187,160612047,180951687,173680775
194114699,199169838,165188656,160500375,176541237,173581968
187344963,199870312,165605873,161555545,176541238,177953661
191865398,195867506,165975741,160433339,177263102,198133275
186892467,195483271,165291369,160745721,177757554,290292967
186884471,195124182,165771246,161481643,177746243,290761983
186310276,193146975,165765815,160590585,177558529,179006602
185734678,194715440,164333972,161589157,177894623,173161973
185168548,193859021,166778077,160395376,177257230,173628686
195162701,195332807,164628709,161388507,177056170,175729056
185833645,198739455,165240974,160456622,182032188,179405616
194906737,207213109,164899931,160359997,178044828,175038281
198345236,206432393,164248081,160623878,176695129,175072795
198460564,207309702,165079971,160638015,176878115,179872529
198339606,207584211,165906642,162114311,177611680,179891765
198708753,207005597,165298194,160321114,176532862,175382691
198087860,208515069,163876498,161917749,176402296,174222939
207200225,208021366,166346664,160479222,176502926,174980041
198615939,207539866,164465391,161394196,175898876,174679162
198319448,207169726,167519899,160519869,180155263,179537664
307445246,207223439,164349802,161542967,176743962,174974770
416377669,207183453,164913096,160538996,175654753,173107280
358164434,206857748,163967281,160722032,175558252,174978989
198004963,207005236,165372734,160886443,176433886,173781786
207447533,201981431,163845200,161133069,294698064,173609620
193279239,198314441,165049966,160362120,294748339,172940205
187776617,200163425,165997545,160507134,205528493,173292260
192120519,195520512,165625813,161762071,183186348,172831609
187941760,195148859,166004448,160561186,177390242,172347815
186851218,194292781,166837772,160489068,177372068,178169108
186088656,194282772,165497021,160593316,177810316,263854612
185486177,193445049,166727403,159908249,177108951,290466394
185242928,193533887,164905634,160770651,177368111,232202163
194443421,194364747,165869995,160372427,177692413,173640839
185637714,200297901,166284879,161550700,177363622,175371369
194827838,206774199,248297636,160649771,177128007,176161212
198414397,207437063,165186234,161169255,176823693,174639016
198380583,207070950,168870192,160688845,176495884,180059241
197959146,207788376,167963659,161813215,176004906,175284716
198346880,208030794,172026682,161548804,176707463,174507016
197985275,206942007,173549510,162094117,176452011,174598599
198047664,206604850,171913169,161910319,176307759,174906812
206503828,211277120,172429735,235196300,175684772,175653122
197786600,206815147,172787090,161424167,176082944,173951836
198024090,206516222,171417894,166940095,175628457,174329711
198464391,206769371,252853300,166966255,175087764,173773409
257096958,206850193,235488576,167768415,175682078,179323530
414490671,206747720,166355174,208802713,176342874,173817413
409679906,202604589,168520532,268333056,175745386,173397488
193118256,197606143,165394730,165705094,176790531,173681956
188368846,199836528,163838490,160743556,262183491,172437734
191292383,195350219,165147592,161853429,180307844,173262493
186863110,195280518,166035290,160791316,178103780,172375367
187096161,194753562,164542270,160447073,178214881,173173866
187105268,194092292,165690178,160518499,177658099,173021056
184945456,193386669,165780738,161389588,176883546,173458113
185052828,194110827,164501062,160361431,177858558,211366939
186333780,194498530,164901248,161680029,177176560,291042423
185597718,199609610,164660022,160385206,177445618,197848296
